#漢字	台羅	方音	白話字	語域	次數	權重	佐證	腔別	例源
層	tsan5	ㄐㄧㄥˊ/ㄗㄢ/ㄗㄢˊ	chân	白/語	102	186	iT,教,日,比,甘,線	中漳,北泉,南混,峽泉,澎泉,竹泉,蘭漳,金泉,高混,鹿泉	01:把;01:悲觀;01:碑
層	tsan3	ㄗㄢ˪	chàn	語	6	96	iT,教,日,植,比,甘,線	中漳,北泉,南混,峽泉,澎泉,竹泉,蘭漳,金泉,高混,鹿泉	05:磴;06:塔;09:閣
層	tsan1	ㄗㄢ	chan		1	27	日,線		13:臼齒
層	tsing5	ㄐㄧㄥˊ	chêng	文	3	19	甘,甘文		21:層(台甘);21:層(普閩);26:成語
層	ting5	ㄉㄧㄥˊ	têng		1	17	線		26:雲
層	ian5	ㄧㄢˊ	iân		4	4			06:胎兒;24:一層;24:油
層	tsai5	ㄗㄞˊ	châi		1	1			09:擱
履	li2	ㄌㄧˋ	lí		11	103	iT,教,日,比,甘,甘文,線	蘭漳	04:服務;08:歷;08:履(台甘)
履	ni2	ㄋㄧˋ	ní		1	1			08:履
屧	siap4	ㄒㄧㄚㆴ	siap		4	54	iT,教,比	中漳	19:入;19:擩
屧	that4	ㄊㄚㆵ	that		1	1			09:改
屨	ku3	ㄍㄨ˪	kù		2	10	甘		13:屨(台甘);13:屨(普閩)
屩	kiok4	ㄍㄧㆦㆶ	kiok	文	4	12	甘		13:屩/蹻(台甘);13:屩(台甘)
屩	kiok8	ㄍㄧㆦㆶ ͘	kio̍k	文	3	11	甘		13:屩/蹻(台甘);13:屩(台甘)
屩	kiah8	ㄍㄧㄚㆷ ͘	kia̍h	白/語	3	3			13:屩/蹻(台甘);13:屩(普閩)
屩	khiau1	ㄎㄧㄠ	khiau	文	2	2			13:屩/蹻(台甘);13:屩/蹻(普閩)
屩	kiau2	ㄍㄧㄠˋ	kiáu	文	1	1			13:屩/蹻(台甘)
屩	bat8	ㆠㄚㆵ ͘	ba̍t	語	1	1			13:屩/蹻(台甘)
屩	tsi1	ㄐㄧ	chi		1	1			13:屩(普閩)
屩	kik8	ㄍㄧㆤㆶ ͘	ke̍k	文	1	1			13:屩(普閩)
屬	siok8	ㄒㄧㆦㆶ ͘	sio̍k	文	117	183	iT,教,日,甘,線		01:鉋床;01:鈑;01:貨幣
屬	tsiok4	ㄐㄧㆦㆶ	chiok	文	5	41	教,日,甘		16:屬(台甘);16:屬(普閩);16:屬目
屬	sioh8	ㄒㄧㄜㆷ ͘	sio̍h	語	1	1			18:屬(台甘)
屭	hi3	ㄏㄧ˪	hì		1	9	甘		01:贔𠫍/𠩠
屯	tun7	ㄉㄨㄣ˫	tūn	語	7	73	iT,教,日,甘,線		06:屯(台甘);16:屯(台甘);17:屯(台甘)
屯	tun1	ㄉㄨㄣ	tun		9	35	教,甘		05:垛;05:堆;06:屯(台甘)
屯	tun3	ㄉㄨㄣ	tùn		1	35	教,線		16:屯
屯	tun5	ㄉㄨㄣˊ	tûn	語	7	25	日,甘		06:屯(台甘);16:屯(台甘);17:屯(台甘)
屯	thun5	ㄊㄨㄣˊ	thûn		3	3			06:屯(普閩);16:屯(普閩);17:屯(普閩)
屯	tun2	ㄉㄨㄣˋ	tún		2	2			06:屯
屯	tian5	ㄉㄧㄢˊ	tiân		1	1			16:屯(台甘)
屯	tshan5	ㄘㄢˊ	chhân	文	1	1			16:屯(台甘)
屯	tsu7	ㄗㄨ˫	chū	語	1	1			16:屯(台甘)
屯	khun3	ㄎㄨㄣ˪	khùn	語	1	1			16:屯(台甘)
屯	lan5	ㄌㄢˊ	lân	語	1	1			16:屯(台甘)
屯	hing5	ㄏㄧㄥˊ	hêng	語	1	1			16:屯(台甘)
屯	tua7	ㄉㄨㄚ˫	tōa	語	1	1			16:屯(台甘)
