#漢字	台羅	方音	白話字	語域	次數	權重	佐證	腔別	例源
①	phainn2	ㄆㆮˋ	pháiⁿ		1	1			12:壞
①	ke2	ㄍㆤˋ	ké		1	1			14:請…假
②	liau2	ㄌㄧㄠˋ	liáu		1	1			08:廖
②	phian2	ㄆㄧㄢˋ	phián		1	1			09:鋼筆
②	mai2	ㄇㄞˋ	mái		1	1			12:壞
②	ke3	ㄍㆤ˪	kè		1	1			14:請…假
③	liau5	ㄌㄧㄠˊ	liâu		1	1			08:廖
③	ka3	ㄍㄚ˪	kà		1	1			14:請…假
④	lu2	ㄌㄨˋ	lú		1	1			08:廖
④	tsa1	ㄗㄚ	cha		1	1			16:手札
㐾	guan2	ㆣㄨㄢˋ	goán		4	4			12:哈哈;20:咱們·;23:俺
㐾	gun2	ㆣㄨㄢˋ/ㆣㄨㄣˋ	gún	白	4	4			12:哈哈;18:舍下;20:咱們·
㐾	kuan2	ㄍㄨㄢˋ	koán		1	1			25:㐾(普閩)
㑑	lan2	ㄌㄢˋ	lán		14	14			08:嘮;16:捉摸·;20:咱
㑳	tshiu3	ㄑㄧㄨ˪	chhiù		1	1			16:㑳(台甘)
㑳	tsoo3	ㄗㆦ˪	chò͘		1	1			16:㑳(普閩)
㒈	kam2	ㄍㆰˋ	kám		8	8			07:難道;07:難道…不成？;15:許
㒈	kam1	ㄍㆰ	kam		1	1			20:再
㒓	that4	ㄊㄚㆵ	that	文	2	2			06:㒓(台甘);06:㒓(普閩)
㒓	tha2	ㄊㄚˋ	thá		1	1			06:挑達
㒓	thah4	ㄊㄚㆷ	thah	白	1	1			06:㒓(普閩)
㒓	tat8	ㄉㄚㆵ ͘	ta̍t	白	1	1			06:㒓(普閩)
㓔	sia7	ㄒㄧㄚ˫	siā		1	1			08:零落
㓖	pit4	ㄅㄧㆵ	pit		3	3			01:㓖(台甘);01:㓖冹
㓖	pi2	ㄅㄧˋ	pí		2	2			04:㓖冹
㓖	bong5	ㆠㆲˊ	bông		1	1			01:㓖(台甘)
㓖	hut4	ㄏㄨㆵ	hut		1	1			01:㓖(台甘)
㓟	phue1	ㄆㄨㆤ	phoe		1	1			02:片
㓠	tsam7	ㄗㆰ˫	chām		1	1			05:剁
㓦	pik4	ㄅㄧㆤㆶ	pek		1	1			01:㓦(普閩)
㓲	phian2	ㄆㄧㄢˋ	phián		3	3			05:刀刃兒
㓲	phue1	ㄆㄨㆤ	phoe		1	1			05:刀刃兒
㓶	khiat4	ㄎㄧㄚㆵ	khiat		6	6			18:刷;21:擦
㓺	khian3	ㄎㄧㄢ˪	khiàn		2	2			13:矍鑠
㔂	lan5	ㄌㄢˊ	lân	白	3	35	iT,教		08:㔂(普閩);08:㔂
㔂	lin5	ㄌㄧㄣˊ	lîn	文	1	1			08:㔂(普閩)
㔃	hiat4	ㄏㄧㄚㆵ	hiat		2	12	日		01:擺;01:鐘擺
㔊	thuann2	ㄊㄨㆩˋ	thóaⁿ	白	7	7			02:耪;02:平;05:㔊(普閩)
㔊	tan2	ㄉㄢˋ	tán	文	1	1			05:㔊(普閩)
㔊	than2	ㄊㄢˋ	thán		1	1			06:㔊(普閩)
㔊	thuannh4	ㄊㄨㆩㆷ	thoaⁿh		1	1			17:鏟
㔏	leh8	ㄌㆤㆷ ͘	le̍h		6	6			08:剺;09:割;09:剮
㔣	tui7	ㄉㄨㄧ˫	tūi		1	1			18:升旗
㔣	lui7	ㄉㄨㄧ˫	lūi		1	1			18:升旗
㔤	sim3	ㄒㄧㆬ˪	sìm		15	15			12:黑魆魆;12:呼搧·/唿搧·;15:㔤(普閩)
㕧	si1	ㄒㄧ	si		1	1			18:呻吟
㕭	pang1	ㄅㄤ	pang		1	1			23:㕭*(台甘)
㕰	hak4	ㄏㄚㆶ	hak		5	5			09:購置;14:頃;15:㕰(普閩)
㕶	ng5	ㆭˊ	n̂g		1	1			18:不聲不響
㕶	ng1	ㆭ	ng		1	1			18:不聲不響
㕻	phui3	ㄆㄨㄧ˪	phùi		3	3			21:啐
㖅	sut8	ㄙㄨㆵ ͘	su̍t		9	9			12:忽哨;12:呼哨;15:噓噓
㖅	sut4	ㄙㄨㆵ	sut		2	2			10:口號;10:口哨
㖅	su3	ㄙㄨ˪	sù		2	2			15:噓噓
㖐	bi5	ㆠㄧˊ	bî		1	1			03:貓
㖠	tai2	ㄉㄞˋ	tái		1	1			06:鐋鑼
㖠	nai1	ㄋㄞ	nai		1	1			08:鑼兒
㖵	khu7	ㄎㄨ˫	khū		8	8			04:發抖;08:雷聲;15:雄
㖹	pun5	ㄅㄨㄣˊ	pûn		4	4			02:㖹(普閩);17:吹;17:吹牛
㖹	phun5	ㄆㄨㄣˊ	phûn		1	1			02:㖹(台甘)
㖿	ie5	ㄧㄝˊ	iê		3	3			24:㖿
㖿	ie1	ㄧㄝ	ie		1	1			13:揀
㗅	oo5	ㆦˊ	ô͘		4	4			09:敢;12:好勁;23: 噢
㗅	or5	ㄛˊ	ô̤		4	4			25:唲嘔
㗅	oo1	ㆦ	o͘		2	2			23: 噢
㗆	khih8	ㄎㄧㆷ ͘	khi̍h		14	14			05:咯噔;05:噔噔地;08:彔彔
㗆	kih8	ㄍㄧㆷ ͘	ki̍h		5	5			01:旁午;09:咯咯;12:橫生
㗆	khih4	ㄎㄧㆷ	khih		4	4			09:咯噔
㗆	kih4	ㄍㄧㆷ	kih		2	2			13:咭咭嗝嗝
㗆	ki1	ㄍㄧ	ki		2	2			13:咭吱咯吱
㗆	ki3	ㄍㄧ˪	kì		2	2			24:映
㗆	kinnh8	ㄍㆪㆷ ͘	ki̍ⁿh		1	1			16:咭吱咯吱
㗏	uainnh8	ㄨㆮㆷ ͘	oa̍iⁿh		12	12			13:嘰;20:吱嘍嘍;23:啞啞
㗏	uaih8	ㄨㄞㆷ ͘	oa̍ih		4	4			23: 嘔啞
㗑	pai1	ㄅㄞ	pai		1	1			01:罷
㗒	ai1	ㄞ	ai		4	4			16:嗻;16:硌/挌着;24:喲
㗒	ainn1	ㆮ	aiⁿ		1	1			24:呦
㗨	ai2	ㄞˋ	ái		2	2			05:笛兒/子·;22:嗩吶
㗭	sinnh8	ㄒㆪㆷ ͘	si̍ⁿh		8	8			09:咯咯;09:咯吱·/咯吱;13:咭吱咯吱
㗭	sut4	ㄙㄨㆵ	sut		2	2			18:哨子·風兒
㗭	sut8	ㄙㄨㆵ ͘	su̍t		1	1			18:呼哨/唿哨
㘆	thai2	ㄊㄞˋ	thái		3	3			03:蠻勁兒;22:撒…野
㘈	gi7	ㆣㄧ˫	gī		1	1			20:齜
㘥	o5	ㄜˊ	ô		1	1			24:㘥(台甘)
㘥	iu5	ㄧㄨˊ	iû		1	1			24:㘥(普閩)
㘹	tsia1	ㄐㄧㄚ	chia		192	192			01:扒頭·兒;01:把;01:僻
㘹	tsia5	ㄐㄧㄚ	chiâ		2	2			05:呔;21:纔
㚢	li2	ㄌㄧˋ	lí		1	1			24:遊
㛂	gio2	ㆣㄧㄜˋ	gió		2	2			07:扭;07:扭捏
㛃	kiat4	ㄍㄧㄚㆵ	kiat		1	1			13:㛃(台甘)
㛛	sin1	ㄒㄧㄣ	sin		2	2			26:孕
㜁	tsa1	ㄗㄚ	cha		50	50			02:潑;03:分娩;03:面首
㜁	tsa7	ㄗㄚ˫	chā		1	1			20:子
㜅	thik4	ㄊㄧㆤㆶ	thek	白	2	2			08:靚;17:㜅(普閩)
㜅	thiok4	ㄊㄧㆦㆶ	thiok	文	1	1			17:㜅(普閩)
㞂	theh8	ㄊㆤㆷ ͘	the̍h		3	3			09:拱
㞂	thueh8	ㄊㄨㆤㆷ ͘	thoe̍h		1	1			13:聳肩
㞎	pa2	ㄅㄚˋ	pá	文	1	1			01:㞎/巴(普閩)
㞎	pe2	ㄅㆤˋ	pé	白	1	1			01:㞎/巴(普閩)
㞎	pa1	ㄅㄚ	pa		1	1			18:屎蚵螂
㞘	tu1	ㄉㄨ	tu		2	2			05:光腚;10:尻
㞘	tok4	ㄉㆦㆶ	tok		2	2			05:㞘/�(台甘);05:㞘/�(普閩)
㞘	kirh8	ㄍㆨㆷ ͘	kṳ̍h		1	1			05:㞘/�(台甘)
㞘	kua5	ㄍㄨㄚˊ	kôa		1	1			05:㞘/�(台甘)
㞞	siau5	ㄒㄧㄠˊ	siâu		1	1			09:<glyph:k/fb7
㟂	boo2	ㆠㆦˋ	bó͘		1	1			03:㟂磯角
㟖	long7	ㄌㆲ˫	lōng	文	2	2			08:㟖(台甘);08:㟖/<glyph:k/9
㟖	hai2	ㄏㄞˋ	hái	罕用	1	1			08:㟖(台甘)
㡑	tshiau1	ㄑㄧㄠ	chhiau		3	3			14:㡑(普閩)
㡑	tsiau2	ㄐㄧㄠˋ	chiáu		1	1			14:㡑(台甘)
㡑	kee2	ㄍㄝˋ	kée		1	1			14:㡑(普閩)
㡑	sau1	ㄙㄠ	sau		1	1			14:㡑(普閩)
㡧	tsing7	ㄐㄧㄥ˫	chēng		1	1			16:㡧(台甘)
㡧	ting3	ㄉㄧㄥ˪	tèng		1	1			16:㡧(普閩)
㡧	khuainnh4	ㄎㄨㆮㆷ	khoaiⁿh		1	1			16:㡧(普閩)
㡧	ting7	ㄉㄧㄥ˫	tēng		1	1			16:㡧(普閩)
㣒	tshang3	ㄘㄤ˪	chhàng		12	12			03:發毛;04:髮;14:起毛(兒)
㤉	ge5	ㆣㆤˊ	gê		38	70	iT,教		02:貧←頻;02:頻;03:漫罵
㤉	ke5	ㄍㆤˊ	kê		1	1			07:黏子·
㤓	pun7	ㄅㄨㄣ˫	pūn		1	1			16:騺
㤕	tshuah4	ㄘㄨㄚㆷ	chhoah		7	7			12:觳觫;16:戰;16:顫/戰(兒)
㥏	thian2	ㄊㄧㄢˋ	thián		2	2			06:㥏(台甘);06:㥏(普閩)
㥮	tshau2	ㄘㄠˋ	chháu		1	1			16:㥮(台甘)
㥮	tsha2	ㄘㄚˋ	chhá		1	1			16:㥮(台甘)
㥮	tshoo2	ㄘㆦˋ	chhó͘		1	1			16:㥮(普閩)
㧇	mooh4	ㄇㆦㆷ	mo͘h		1	1			23:捱牆靠壁
㧈	king1	ㄍㄧㄥ	keng		23	23			02:挀;05:打帳子·;05:捯
㧉	kiat4	ㄍㄧㄚㆵ	kiat		1	1			08:( )
㧍	ping1	ㄅㄧㄥ	peng	文	1	1			01:㧍(普閩)
㧍	pinn1	ㄅㆪ	piⁿ	白	1	1			01:㧍(普閩)
㧎	khe5	ㄎㆤˊ	khê		12	54	iT,教,日		09:跟頭(/筋斗);09:鯁;10:咳/咯
㧎	ke5	ㄍㆤˊ	kê		3	13	日		12:扞;14:卡
㧎	kheh8	ㄎㆤˊ	khe̍h		1	1			14:卡
㧎	keh8	ㄍㆤㆷ ͘	ke̍h		1	1			14:卡
㧒	hiat4	ㄏㄧㄚㆵ	hiat		26	80	700,iT,教		05:丟;05:丟掉;05:顛
㧒	hiah8	ㄏㄧㄚㆷ ͘	hia̍h		1	1			14:拋棄
㧡	hainn3	ㄏㆮ˪	hàiⁿ		33	33			04:肥;05:盪;05:掉臂
㧡	hai3	ㄏㄞ˪	hài		1	1			09:擱
㧣	tu1	ㄉㄨ	tu		32	82	iT,教,比	中漳,竹泉,金泉,鹿泉	02:擋箭牌;03:冒;05:兜風
㧣	lu1	ㄉㄨ/ㄌㄨ	lu		2	2			05:抵不·住;17:衝
㧤	thong2	ㄊㆲˋ	thóng		8	8			04:峰巒;06:凸;06:突出
㧤	hian2	ㄏㄧㄢˋ	hián		5	5			05:𧽍;05:顛/攧/𧽍/掂
㧦	suan5	ㄙㄨㄢˊ	soân		1	1			15:㧦(台甘)
㧫	jih8	ㄌㄧㆷ ͘/ㆢㄧㆷ ͘	ji̍h		27	27			07:捺;07:捺印;07:捺著性子·
㧫	lih8	ㄌㄧㆷ ͘/ㆢㄧㆷ ͘	li̍h		16	16			08:鈴(兒);12:和弄;13:殺價
㧫	nih8	ㄋㆤㆷ ͘/ㆢㄧㆷ ͘	ni̍h		5	5			07:捏一把汗;08:鈴(兒);14:琴
㧫	jih4	ㆢㄧㆷ	jih		2	2			06:攤;16:箝制
㧫	neh8	ㄋㆤㆷ ͘	ne̍h		1	1			07:捏一把汗
㧫	jip8	ㆢㄧㆴ ͘	ji̍p		1	1			23:遏阻
㧳	pue2	ㄅㄨㆤˋ/ㄅㆤˋ	póe		20	20			01:扒;01:扒拉·;01:撥拉·
㧳	pe2	ㄅㄨㆤˋ/ㄅㆤˋ	pé		2	2			01:扒拉·;03:耱
㧳	pai1	ㄅㄞ	pai		1	1			01:掰文兒
㧻	tok4	ㄉㆦㆶ	tok		1	27	教,甘		10:捆
㧻	tauh4	ㄉㄠㆷ	tauh		2	2			07:擰;13:弶
㧾	hut4	ㄏㄨㆵ	hut		4	4			12:㧾
㧿	tsing1	ㄐㄧㄥ	cheng		1	1			20:揍
㨂	tang3	ㄉㄤ˪	tàng		4	22	教		14:掐;14:掐菜
㨂	tong3	ㄉㆲ˪	tòng		1	1			05:打冷戰·
㨖	tih4	ㄉㄧㆷ	tih		6	6			01:扒拉·;05:調皮;05:點
㨖	ti3	ㄉㄧ˪	tì		1	1			25:頑皮
㨛	siam2	ㄒㄧㆰˋ	siám		2	2			03:抹腰;18:閃
㨠	ming5	ㄇㄧㄥˊ	mêng		1	1			03:㨠
㨥	lap8	ㄌㄚㆴ ͘	la̍p		1	1			07:㨥(台甘)
㨨	liu3	ㄌㄧㄨ˪	liù		18	18			06:套;06:套兒;06:圈套
㨨	liu1	ㄌㄧㄨ	liu		4	4			13:交通;14:籤;16:抓
㨨	lau3	ㄌㄠ˪	làu		1	1			22:散
㨪	huang2	ㄏㄨㄤˋ	hoáng		1	1			12:晃蕩
㨮	tau1	ㄉㄠ	tau		4	14	日		08:濫/灠/𣛴;08:逗留;10:扣
㨮	lau1	ㄌㄠ	lau		1	1			08:灠
㨴	khinn5	ㄎㆪˊ	khîⁿ		1	1			16:掙家
㨴	kinn5	ㄍㆪˊ	kîⁿ		1	1			17:叉
㨻	tsann7	ㄗㆩ˫	chāⁿ	白	2	34	iT,教		16:㨻(普閩)
㨻	tsam7	ㄗㆰ˫	chām	文	2	2			16:㨻(台甘);16:㨻(普閩)
㨻	lu5	ㄌㄨˊ	lû	白	1	1			16:㨻(普閩)
㨻	phian3	ㄆㄧㄢ˪	phiàn	白	1	1			16:㨻(普閩)
㨻	bi2	ㆠㄧˋ	bí	白	1	1			16:㨻(普閩)
㨻	tshann7	ㄘㆩ˫	chhāⁿ	白	1	1			16:㨻(普閩)
㨻	nau5	ㄋㄠˊ	nâu	白	1	1			16:㨻(普閩)
㨻	puah8	ㄅㄨㄚㆷ ͘	poa̍h	白	1	1			16:㨻(普閩)
㨻	siann1	ㄒㄧㆩ	siaⁿ	白	1	1			16:㨻(普閩)
㩃	han5	ㄏㄢˊ	hân		1	1			24:䌥
㩋	siau7	ㄒㄧㄠ˫	siāu		4	4			17:笞;17:鞭笞;17:抽
㩐	tun3	ㄉㄨㄣ˪	tùn		1	1			05:㩐(台甘)
㩐	tioh4	ㄉㄧㄜㆷ	tioh		1	1			05:㩐(台甘)
㩙	seh4	ㄙㆤㆷ	seh		2	2			22:㩙
㩙	tsinn1	ㄙㆤㆷ	chiⁿ		2	2			22:㩙
㩙	sai1	ㄙㄞ	sai		1	1			22:㩙(台甘)
㩚	bong3	ㆠㆲ˪	bòng		6	6			03:㩚;08:鐳;20:揍
㩝	ko5	ㄍㄜˊ	kô		12	12			03:顢頇·;03:乜斜·;08:罶
㩝	ko7	ㄍㄜ˫	kō		2	2			12:混子·
㩟	tsai7	ㄗㄞ˫	chāi	文	1	1			16:㩟(普閩)
㩟	tse7	ㄗㆤ˫	chē	語	1	1			16:㩟(普閩)
㩧	phiak4	ㄆㄧㄚㆶ	phiak		1	1			02:拍
㩳	siong2	ㄒㄧㆲˋ	sióng	文	1	1			22:㩳(台甘)
㩳	song2	ㄙㆲˋ	sóng	文	1	1			22:㩳(台甘)
㩵	hinn3	ㄏㄧㄚㆵ/ㄏㆪ˪/ㄏㆮ˪	hìⁿ		84	84			01:擺動;01:幫兒;02:拋
㩵	hainn3	ㄏㆪ˪/ㄏㆮ˪	hàiⁿ		9	9			01:擺動;01:別;04:拂袖
㩵	hian3	ㄏㄧㄢ˪	hiàn		5	5			08:裂/咧;10:洞開;16:奓
㩵	hinn2	ㄏㆪˋ	híⁿ		2	2			14:去你的;18:刷
㩵	hai3	ㄏㄞ˪	hài		1	1			01:扒拉·
㩵	hiat4	ㄏㄧㄚㆵ	hiat		1	1			03:蔑棄
㩵	hinn7	ㄏㆪ˫	hīⁿ		1	1			21:裁減
㩵	hainn7	ㄏㆮ˫	hāiⁿ		1	1			21:殘破
㩺	pit4	ㄅㄧㆵ	pit		1	1			08:四分五裂
㪹	lau2	ㄌㄠˋ	láu		6	6			12:話裏套話;16:詐;19:繞
㪹	lau3	ㄌㄠˋ/ㄌㄠ˪	làu		2	2			16:詐
㫰	long7	ㄌㆲ˫	lōng		1	1			08:晾
㬤	khip4	ㄎㄧㆴ	khip		2	2			14:㬤(普閩);16:搌布
㬤	tshi1	ㄑㄧ	chhi		1	1			16:搌布
㬮	pin2	ㄅㄧㄣˋ	pín		3	3			01:繃
㬮	la1	ㄌㄚ	la		3	3			25:烏塗·;25:溫
㬮	na1	ㄋㄚ	na		1	1			06:溫暾
㬮	nan5	ㄋㄚ	nân		1	1			06:溫暾
㬵	kha1	ㄎㄚ	kha		2	2			09:膝蓋;09:牆根兒
㭰	tshui3	ㄘㄨㄧ˪	chhùi		1	1			24:央告
㮓	khing7	ㄎㄧㄥ˫	khēng		5	5			10:檜;13:桕
㮓	khiu7	ㄎㄧㄥ˫	khiū		3	3			13:桕
㮣	kai3	ㄍㄞ˪	kài		1	1			05:碌碡
㯂	theh8	ㄊㆤㆷ ͘	the̍h	白	5	5			05:㯂(普閩);05:㯂;13:聳肩
㯂	thueh8	ㄊㄨㆤㆷ ͘/ㄊㆤㆷ ͘	thoe̍h	白	5	5			05:㯂(普閩);05:㯂
㯂	tiat8	ㄉㄧㄚㆵ ͘	tia̍t	文	1	1			05:㯂(普閩)
㯂	khior1	ㄎㄧㄛ	khio̤	白	1	1			05:㯂(普閩)
㯃	tshit4	ㄑㄧㆵ	chhit		2	2			14:漆;14:㯃(台甘)
㯃	tshik4	ㄑㄧㆤㆶ	chhek		1	1			14:㯃(台甘)
㯋	ing2	ㄧㄥˋ	éng		2	2			13:㯋(台甘)
㯋	king2	ㄍㄧㄥˋ	kéng		1	1			13:㯋(台甘)
㰍	lang1	ㄌㄤ	lang		19	19			01:播;06:透亮兒;08:簍(兒)
㰍	lang3	ㄌㄤ˪	làng		5	5			05:當兒;06:脫懶兒;06:脫滑兒
㰍	long5	ㄌㆲˊ	lông		2	2			14:鬜
㱿	khok4	ㄎㆦㆶ	khok		1	1			13:蕪菁
㲜	ia7	ㄧㄚ˫	iā		25	25			01:播;01:播種;02:潑
㲯	lam1	ㄌㆰ	lam		2	2			08:闌珊;08:㲯毿
㲯	kha2	ㄎㄚˋ	khá		1	1			08:㲯(台甘)
㲯	lam5	ㄌㆰˊ	lâm		1	1			08:㲯(台甘)
㲯	lam7	ㄌㆰ˫	lām		1	1			22:所
㲲	tiap8	ㄉㄧㄚㆴ ͘	tia̍p		1	1			05:㲲(台甘)
㴩	iong1	ㄧㆲ	iong	文	1	1			26:㴩(普閩)
㴷	tam5	ㄉㆰˊ	tâm		34	34			03:摸;06:溻;06:土
㵐	khuat4	ㄎㄨㄚㆵ	khoat		1	1			13:㵐(普閩)
㵒	phui3	ㄆㄨㄧ˪	phùi		5	5			06:唾;06:唾棄;06:唾面自乾
㷎	hah4	ㄏㄚㆷ	hah		1	1			15:噓
㷟	thui1	ㄊㄨㄧ	thui		2	10	甘		06:㷟(台甘);06:㷟(普閩)
㸆	hinn3	ㄏㆪ˪	hìⁿ		1	1			04:肥
㹂	kian7	ㄍㄧㄢ˫	kiān		2	2			08:戾;09:乖僻
㹂	gian7	ㆣㄧㄢ˫	giān		2	2			20:左性;20:左脾氣·
㹭	e3	ㆤ˪	è		2	2			24:㹭(台甘);24:㹭(普閩)
㹭	i2	ㄧˋ	í		1	1			18:猞猁
㼜	iong2	ㄧㆲˋ	ióng	文	1	1			24:㼜(普閩)
㼜	iunn2	ㄧㆫˋ	iúⁿ	白	1	1			24:㼜(普閩)
㼠	thoh4	ㄊㄜㆷ	thoh		1	1			08:老背/悖晦·
㼨	am5	ㆰˊ	âm		2	10	甘		12:涵洞
㽱	ka2	ㄍㄚˋ	ká	語	2	2			13:㽱(台甘);13:㽱
㽱	kau1	ㄍㄠ	kau	文	1	1			13:㽱(台甘)
㽱	kau2	ㄍㄠˋ	káu	文	1	1			13:㽱(台甘)
㽱	kiu1	ㄍㄧㄨ	kiu	文	1	1			13:㽱(台甘)
㽱	kiu2	ㄍㄧㄨˋ	kiú		1	1			13:㽱
㾀	khiap4	ㄎㄧㄚㆴ	khiap		5	55	iT,教,比	竹泉	09:鬼;12:寒磣·;14:㾀(台甘)
㾤	khang1	ㄎㄤ	khang		17	17			03:抹;08:揦;08:老繃
㾪	san2	ㄙㄢˋ	sán	白	38	38			01:薄田;01:薄;01:乾癟
㾪	sing2	ㄒㄧㄥˋ	séng	文	5	5			17:柴;17:骨瘦如柴;18:㾪(台甘)
㾪	san1	ㄙㄢ	san		1	1			16:怔忡
㾻	tu7	ㄉㄨ˫	tū	文	5	5			16:㾻(台甘);16:㾻(普閩);16:㾻
㾻	tu5	ㄉㄨˊ	tû	文	1	1			16:㾻(台甘)
䀁	hui5	ㄏㄨㄧˊ	hûi		2	2			21:磁;25:危險
䀁	tsu5	ㄗㄨˊ	chû		1	1			24:一堂
䀇	koo2	ㄍㆦˋ	kó͘		4	4			05:銚子·;09:鈷;09:䀇/�(台甘)
䀐	siam1	ㄒㄧㆰ	siam	白	4	22	教		18:捎;18:䀐(普閩);22:伺察
䀐	sim1	ㄒㄧㆬ	sim		1	1			14:偷覰
䀐	sam1	ㄙㆰ	sam	文	1	1			18:䀐(普閩)
䀐	hiu5	ㄏㄧㄨˊ	hiû	白	1	1			18:䀐(普閩)
䀡	siam1	ㄒㄧㆰ	siam		1	1			14:覻
䀩	lio2	ㄌㄧㄜˋ	lió		2	2			15:𥄴
䀹	tsiap4	ㄐㄧㄚㆴ	chiap		4	4			16:眨;18:鿃
䀹	he1	ㄏㆤ	he		2	2			12:合眼兒
䀹	khueh4	ㄎㄨㆤㆷ/ㄎㆤㆷ	khoeh		2	2			16:着/著;24:眼
䀹	tsap4	ㄐㄧㄚㆴ	chap		2	2			18:鿃
䀹	kiap4	ㄐㄧㄚㆴ	kiap		1	1			18:鿃
䀹	tsie1	ㄐㄧㄝ	chie		1	1			18:鿃
䀹	kheh4	ㄎㆤㆷ	kheh		1	1			24:眼
䁪	tsiam2	ㄐㄧㆰˋ	chiám		1	1			16:䁪(普閩)
䁪	phio5	ㄆㄧㄜˊ	phiô		1	1			16:䁪(普閩)
䃎	ta2	ㄉㄚˋ	tá		1	1			16:䃎(普閩)
䃘	khiang1	ㄎㄧㄤ	khiang		2	2			21:鏦蹤
䃦	tun2	ㄉㄨㄣˋ	tún		2	2			16:橋樁;18:扇
䃦	tun1	ㄉㄨㄣ	tun		1	1			22:磉
䃰	tshat4	ㄘㄚㆵ	chhat	文	1	1			21:䃰(普閩)
䃰	tshuah4	ㄘㄨㄚㆷ	chhoah	白	1	1			21:䃰(普閩)
䃰	tsha1	ㄘㄚ	chha		1	1			21:礓䃰
䄻	tau5	ㄉㄠˊ	tâu		1	1			06:䄻(普閩)
䅢	tiu7	ㄉㄧㄨ˫	tiū		2	2			06:吐;07:拿
䅢	tiunn7	ㄉㄧㆫ˫	tiūⁿ		1	1			16:長
䆀	bai2	ㆠㄞˋ	bái		100	172	700,iT,教,比	峽泉,高混	01:敗壞;01:敗肉;01:背
䆀	pai2	ㄅㄞˋ	pái		1	1			01:不→是味兒
䆡	long3	ㄌㆲ˪	lòng		19	19			02:道袍;04:肥;05:盪盪
䆡	lang3	ㄌㄤ˪	làng		2	2			05:空檔
䆡	lang5	ㄌㄤˊ	lâng		1	1			08:閌閬
䆡	lang7	ㄌㄤ˫	lāng		1	1			17:寬敞
䆲	khong3	ㄎㆲ˪	khòng		20	20			02:道袍;04:肥;05:盪盪
䆲	khang1	ㄎㄤ	khang		1	1			08:閌閬
䆲	khang2	ㄎㄤˋ	kháng		1	1			10:閌
䆲	khang3	ㄎㄤ˪	khàng		1	1			15:軒敞
䇌	tshio3	ㄑㄧㄜ˪	chhiò	語	10	10			13:杯珓;14:䇌(普閩);24:偃
䇌	tshiau2	ㄑㄧㄠˋ	chhiáu		2	2			14:䇌
䇌	tshiau3	ㄑㄧㄠ˪	chhiàu	文	1	1			14:䇌(普閩)
䇭	lo2	ㄌㄜˋ	ló		6	20	iT		08:栲栳;10:栲栳/𥬯䇭;16:笊籬·
䇼	ip4	ㄧㆴ	ip		3	3			24:䇼(台甘);24:䇼(普閩);24:䇼
䈕	thue1	ㄊㄨㆤ/ㄊㆤ	thoe	白	4	4			06:䈕(普閩);06:䈕;17:釵
䈕	the1	ㄊㆤ	the	文	2	2			06:䈕(普閩);06:䈕
䉀	tsu3	ㄗㄨ˪	chù	白	2	2			18:䉀(普閩)
䉀	su3	ㄙㄨ˪	sù	文	1	1			18:䉀(普閩)
䉀	kau1	ㄍㄠ	kau	白	1	1			18:䉀(普閩)
䉐	khoo1	ㄎㆦ	kho͘		3	3			07:挪;10:䉐(普閩);10:䉐
䉑	u5	ㄨˊ	û		1	1			14:箐
䉔	tshuann1	ㄘㄨㆩ	chhoaⁿ	白	13	13			04:犯刺兒;04:放刺兒;08:見稜見角
䉔	phia2	ㄆㄧㄚˋ	phiá	白	4	4			21:䉔(台甘);21:䉔(普閩)
䉔	tshi3	ㄑㄧ˪	chhì	白	2	2			21:䉔(台甘);21:䉔(普閩)
䉔	tshi2	ㄑㄧˋ	chhí		1	1			21:䉔(台甘)
䉔	tshan1	ㄘㄢ	chhan	文	1	1			21:䉔(普閩)
䊕	khit8	ㄎㄧㆵ ͘	khi̍t		2	2			13:漿子·;24:油茶
䊩	phun1	ㄆㄨㄣ	phun		6	6			08:瀾;09:泔腳;09:泔水
䊪	lai7	ㄌㄞ˫	lāi		1	1			08:糲
䊴	tshiam1	ㄑㄧㆰ	chhiam		1	1			21:擦
䋎	thinn7	ㄊㆪ˫	thīⁿ	白	14	14			01: 拔縫兒;03:密實;04:縫
䋎	tan3	ㄉㄢ˪	tàn		2	2			01:摽
䋎	thinn1	ㄊㆪ	thiⁿ		1	1			05:補靪
䋎	tan7	ㄉㄢ˫	tān	文	1	1			16:䋎(普閩)
䋎	tian7	ㄉㄧㄢ˫	tiān	文	1	1			16:䋎(普閩)
䋺	tshiu1	ㄑㄧㄨ	chhiu		3	3			22:穗兒/繐兒/穟子·;24:纓子·;24:芥菜纓兒
䌟	thinn7	ㄊㆪ˫	thīⁿ		1	1			05:裰
䌥	un2	ㄨㄣˋ	ún		1	1			24:䌥(台甘)
䎱	pa7	ㄅㄚ˫	pā	文	2	2			01:䎱/耙(台甘);01:䎱/耙(普閩)
䎱	pe7	ㄅㆤ˫	pē	白/語	2	2			01:䎱/耙(台甘);01:䎱/耙(普閩)
䎱	pe5	ㄅㆤˊ	pê		1	1			01:䎱/耙(台甘)
䎱	taih8	ㄉㄞㆷ ͘	ta̍ih		1	1			01:䎱/耙(台甘)
䎱	pa2	ㄅㄚˋ	pá		1	1			01:䎱/耙(台甘)
䏒	phiann2	ㄆㄧㆩˋ	phiáⁿ		1	11	日		15:鋅版
䏒	phian3	ㄆㄧㄢ˪	phiàn		1	1			02:片
